Algorithm,Accuracy,Precision,Recall,F1-Score,ROC-AUC,PR-AUC,MCC,FPR,TP,FP,FN,TN,TrainTime_s,InferTime_ms_per_1k
XGBoost,97.44,97.78,94.98,96.36,97.91,97.08,0.9441,1.2,1627,37,86,3050,1.0,4.965
LightGBM,97.17,97.53,94.45,95.97,97.75,96.94,0.9381,1.33,1618,41,95,3046,1.13,22.243
Random Forest,97.1,97.75,94.05,95.86,97.77,96.66,0.9368,1.2,1611,37,102,3050,12.26,25.757
DNN,97.06,97.46,94.22,95.81,97.71,96.94,0.9358,1.36,1614,42,99,3045,1.71,11.651
ANN (MLP),97.06,97.58,94.1,95.81,97.76,96.32,0.9359,1.3,1612,40,101,3047,1.32,0.399
Gradient Boosting,96.98,97.23,94.22,95.7,97.79,96.94,0.934,1.49,1614,46,99,3041,15.94,2.678
SVM (RBF),96.96,97.86,93.52,95.64,97.69,96.33,0.9336,1.13,1602,35,111,3052,2.69,57.129
RNN,96.77,97.21,93.64,95.39,97.74,96.52,0.9295,1.49,1604,46,109,3041,8.06,13.356
Logistic Regression,96.25,98.12,91.24,94.56,97.68,96.74,0.9184,0.97,1563,30,150,3057,0.04,0.1
Decision Tree,96.08,95.52,93.4,94.45,95.7,93.73,0.9144,2.43,1600,75,113,3012,0.31,0.17
KNN,95.83,97.91,90.25,93.92,96.62,94.83,0.9094,1.07,1546,33,167,3054,0.0,65.165
CNN,95.42,96.17,90.78,93.39,97.3,96.02,0.8998,2.01,1555,62,158,3025,17.48,87.688
CNN+Attention (Extension),94.65,91.84,93.29,92.56,97.32,96.42,0.8838,4.6,1598,142,115,2945,21.21,17.6
Naive Bayes,93.12,95.76,84.47,89.76,96.39,95.19,0.85,2.07,1447,64,266,3023,0.01,0.363
